match_id,event_description
55051,"Blue team top laner has selected K'Sante. Over the last 6 months, he has played 2 matches with this champion, having a KDA of 6.5 and a win rate of 1.0."
55051,"Blue team jungler has selected Brand. Over the last 6 months, he has played 0 matches with this champion, having a KDA of 0.0 and a win rate of 0.0."
55051,"Blue team mid laner has selected Taliyah. Over the last 6 months, he has played 0 matches with this champion, having a KDA of 0.0 and a win rate of 0.0."
55051,"Blue team ad carry has selected Kalista. Over the last 6 months, he has played 1 matches with this champion, having a KDA of 5.0 and a win rate of 0.0."
55051,"Blue team support has selected Nautilus. Over the last 6 months, he has played 2 matches with this champion, having a KDA of 3.4 and a win rate of 1.0."
55051,"Red team top laner has selected Olaf. Over the last 6 months, he has played 0 matches with this champion, having a KDA of 0.0 and a win rate of 0.0."
55051,"Red team jungler has selected Ivern. Over the last 6 months, he has played 0 matches with this champion, having a KDA of 0.0 and a win rate of 0.0."
55051,"Red team mid laner has selected Azir. Over the last 6 months, he has played 4 matches with this champion, having a KDA of 3.0 and a win rate of 0.75."
55051,"Red team ad carry has selected Varus. Over the last 6 months, he has played 3 matches with this champion, having a KDA of 1.64 and a win rate of 0.67."
55051,"Red team support has selected Leona. Over the last 6 months, he has played 0 matches with this champion, having a KDA of 0 and a win rate of 0."
55051,Event 1: Red team got first blood happened at minute 3.
55051,Event 2: Blue team killed an enemy happened at minute 3.
55051,Event 3: Blue team got dragon happened at minute 6.
55051,Event 4: Red team got a tower plate happened at minute 7.
55051,Event 5: Blue team killed an enemy happened at minute 8.
55051,Event 6: Blue team got voidgrub happened at minute 8.
55051,Event 7: Blue team got voidgrub happened at minute 8.
55051,Event 8: Blue team killed an enemy happened at minute 8.
55051,Event 9: Red team killed an enemy happened at minute 8.
55051,Event 10: Red team killed an enemy happened at minute 8.
55051,Event 11: Red team killed an enemy happened at minute 9.
55051,Event 12: Blue team killed an enemy happened at minute 10.
55051,Event 13: Blue team got dragon happened at minute 11.
55051,Event 14: Red team got a tower plate happened at minute 12.
55051,Event 15: Red team got a tower plate happened at minute 12.
55051,Event 16: Blue team got a tower plate happened at minute 13.
55051,Event 17: Blue team got a tower plate happened at minute 13.
55051,Event 18: Blue team killed an enemy happened at minute 13.
55051,Event 19: Red team got voidgrub happened at minute 13.
55051,Event 20: Blue team destroyed the first bot tower happened at minute 14.
55051,Event 21: Red team got herald happened at minute 14.
55051,Event 22: Blue team killed an enemy happened at minute 16.
55051,Event 23: Blue team killed an enemy happened at minute 16.
55051,Event 24: Blue team killed an enemy happened at minute 16.
55051,Event 25: Blue team killed an enemy happened at minute 16.
55051,Event 26: Blue team killed an enemy happened at minute 16.
55051,Event 27: Blue team destroyed the first mid tower happened at minute 17.
55051,Event 28: Blue team got dragon happened at minute 17.
55051,Event 29: Red team destroyed the first top tower happened at minute 18.
55051,Event 30: Red team killed an enemy happened at minute 20.
55051,Event 31: Red team killed an enemy happened at minute 21.
55051,Event 32: Red team killed an enemy happened at minute 22.
55051,Event 33: Blue team killed an enemy happened at minute 23.
55051,Event 34: Blue team killed an enemy happened at minute 23.
55051,Event 35: Blue team killed an enemy happened at minute 23.
55051,Event 36: Blue team got dragon happened at minute 23.
55051,Event 37: Blue team killed an enemy happened at minute 23.
55051,Event 38: Blue team got Baron happened at minute 24.
55051,Event 39: Blue team destroyed the first top tower happened at minute 24.
55051,Event 40: Red team destroyed the first mid tower happened at minute 25.
55051,Event 41: Red team destroyed the second mid tower happened at minute 25.
55051,Event 42: Blue team destroyed the second bot tower happened at minute 25.
55051,Event 43: Blue team destroyed the third bot tower happened at minute 25.
55051,Event 44: Blue team destroyed the bot inhibitor happened at minute 26.0.
55051,Event 45: Blue team destroyed a Nexus tower happened at minute 26.0.
55051,Event 46: Blue team killed an enemy happened at minute 26.0.
