game,flagSide,team,result,top,jungle,mid,carry,supp,ban1,ban2,ban3,ban4,ban5,firstBlood,firstTower,firstHerald,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35
ESPORTSTMNT01_2695708,1,LOUD,1,58,108,42,523,111,109,131,222,123,23,0,1.0,1.0,,herald,first_tower_top,,,first_tower_mid,first_tower_bot,,,,second_tower_mid,dragon,,second_tower_top,dragon,,baron,dragon,third_tower_top,inhibitor_top,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,
ESPORTSTMNT01_2695708,0,FURIA Esports,0,84,5,61,202,89,64,412,4,145,51,1,0.0,0.0,first_blood,,,dragon,herald,,,dragon,first_tower_mid,baron,,,first_tower_bot,,,first_tower_top,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2695774,1,Netshoes Miners,1,23,108,123,145,89,222,4,51,112,134,0,1.0,1.0,,herald,dragon,herald,first_tower_mid,,,second_tower_mid,baron,,first_tower_bot,second_tower_bot,dragon,first_tower_top,dragon,baron,third_tower_mid,inhibitor_mid,third_tower_bot,second_tower_top,inhibitor_bot,nexus_tower,nexus_tower,nexus,,,,,,,,,,,
ESPORTSTMNT01_2695774,0,Flamengo Esports,0,109,5,61,202,57,76,42,131,64,126,1,0.0,0.0,first_blood,,,,,dragon,first_tower_bot,,,first_tower_top,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2695807,1,KaBuM! e-Sports,1,104,64,112,51,111,115,58,4,202,81,0,0.0,0.0,dragon,,,dragon,,first_tower_bot,first_tower_top,first_tower_mid,herald,,second_tower_bot,baron,dragon,second_tower_mid,third_tower_mid,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2695807,0,INTZ,0,109,5,7,15,43,42,126,84,85,24,1,1.0,1.0,,first_blood,herald,,first_tower_bot,,,,,dragon,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2695835,1,Rensga eSports,0,79,108,42,81,350,64,89,4,111,497,0,0.0,0.0,,,,,,,,first_tower_bot,,,dragon,first_tower_mid,,,,,elder_dragon,baron,second_tower_mid,third_tower_mid,inhibitor_mid,nexus_tower,nexus_tower,,,,,,,,,,,,
ESPORTSTMNT01_2695835,0,RED Canids,1,109,5,84,135,71,412,51,222,201,43,1,1.0,1.0,first_blood,dragon,herald,first_tower_bot,dragon,herald,first_tower_mid,,dragon,first_tower_top,,,dragon,baron,third_tower_bot,second_tower_top,,,,,,,,nexus_tower,nexus_tower,nexus,,,,,,,,,
ESPORTSTMNT01_2696159,1,Liberty,1,104,59,142,51,99,4,89,123,7,84,1,1.0,1.0,first_blood,,herald,first_tower_top,second_tower_top,first_tower_bot,dragon,first_tower_mid,second_tower_mid,second_tower_bot,third_tower_bot,dragon,,third_tower_top,inhibitor_top,third_tower_mid,inhibitor_mid,inhibitor_bot,dragon,baron,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,
ESPORTSTMNT01_2696159,0,Rensga eSports,0,126,108,112,202,43,109,42,412,164,58,0,0.0,0.0,,dragon,,,,,,,,,,,first_tower_top,,,,,,,,,,,,,,,,,,,,,,
