game,league,blueteam,redteam,golId
10747-10747_game_1,LDL,Top Esports Challenger,Royal Club,
LOLTMNT04_24874,LVP SL,Movistar KOI,Los Heretics,54825
10728-10728_game_1,LDL,LNG Academy,Royal Club,
LOLTMNT05_16252,PRM,Eintracht Frankfurt,E WIE EINFACH E-SPORTS,
LOLTMNT02_31187,NLC,NORD Esports,Verdant,
LOLTMNT01_57341,LVP SL,Ramboot Club,Rebels Gaming,
LOLTMNT01_34432,LCS,NRG,Dignitas,55010
LOLTMNT04_25632,UL,GRP Esports,Orbit Anonymo Esports,
LOLTMNT04_27614,NLC,Lionscreed,DMG Esports,
LOLTMNT03_37004,LIT,ENEMI3S,Dsyre Esports,
LOLTMNT01_34458,NACL,Area of Effect Esports,Maryville University,
10721-10721_game_1,LDL,FunPlus Phoenix Blaze,Joy Dream,
10716-10716_game_1,LDL,ThunderTalk Gaming Young,Anyone's Legend.Young,
LOLTMNT05_20723,UL,GRP Esports,Iron Wolves,
LOLTMNT02_38326,ESLOL,ZennIT,Dynasty,
LOLTMNT01_46166,LCS,Dignitas,Team Liquid,54685
LOLTMNT04_27522,EBL,Partizan Esports,SPIKE Syndicate,
LOLTMNT01_43508,NACL,Team Liquid Challengers,Disguised,
LOLTMNT02_31144,LVP SL,Los Heretics,Ramboot Club,
LOLTMNT02_48355,NACL,Disguised,Cincinnati Fear,
LOLTMNT04_27501,LFL,Aegis,BK ROG Esports,
LOLTMNT04_20049,UL,Forsaken,Zero Tenacity,
LOLTMNT02_23294,PCS,West Point Esports,Deep Cross Gaming,
LOLTMNT03_29858,LCO,Dire Wolves,Team Bliss,
LOLTMNT04_19142,UL,Forsaken,Iron Wolves,
LOLTMNT01_44541,NACL,LiT Esports,Mirage Alliance,
LOLTMNT01_53418,CBLOL,RED Canids,Liberty,55051
LOLTMNT02_21514,LVP SL,UCAM Tokiers,Guasones,
LOLTMNT02_39072,LVP SL,Barça eSports,Los Heretics,
LOLTMNT01_35439,LCS,Immortals,FlyQuest,54036
LOLTMNT02_38830,LCK,FearX,Nongshim RedForce,
LOLTMNT02_29757,LCK,Nongshim RedForce,Dplus KIA,
LOLTMNT05_14533,TCL,Misa Esports,Papara SuperMassive,
LOLTMNT01_36691,NACL,Supernova,LiT Esports,
LOLTMNT01_58795,LJL,Sengoku Gaming,DetonatioN FocusMe,
LOLTMNT01_49623,LVP SL,Guasones,ZETA,
LOLTMNT02_26436,LCK,Hanwha Life Esports,Kwangdong Freecs,
LOLTMNT02_33234,CBLOL,Vivo Keyd Stars,INTZ,
LOLTMNT05_13239,LEC,SK Gaming,Team BDS,
LOLTMNT05_13355,PRM,Berlin International Gaming,Austrian Force willhaben,
LOLTMNT02_28846,GLL,Gamespace Mediterranean College Esports,Wild Panthers Esports,
LOLTMNT01_52481,AL,Anubis Gaming,Geekay Esports,
LOLTMNT02_27488,LCKC,OKSavingsBank BRION Challengers,Gen.G Global Academy,
LOLTMNT02_31777,HM,BRUTE,eSuba,
LOLTMNT02_43867,LLA,Isurus,Leviatan,
LOLTMNT02_26558,LJL,DetonatioN FocusMe,Burning Core Toyama,
LOLTMNT02_52103,LCO,Dire Wolves,FURY Global,
