game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
ESPORTSTMNT03_3087692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPORTSTMNT02_3151319,6,0.5,4.27,6,0.5,5.0,4,0.5,1.57,4,0.75,10.67,3,0.67,10.67,0,0,0,7,0.57,3.33,8,0.5,3.39,2,0.5,5.0,0,0,0,1
ESPORTSTMNT03_3086653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPORTSTMNT03_3090322,1,0.0,8.0,0,0,0,1,1.0,0.5,2,0.5,7.5,0,0,0,1,1.0,0.0,3,0.67,1.88,1,1.0,4.0,0,0,0,0,0,0,1
ESPORTSTMNT03_3126234,1,1.0,1.33,5,0.2,4.55,1,1.0,8.0,0,0,0,0,0,0,3,0.33,2.11,2,1.0,1.88,2,0.5,1.17,0,0,0,0,0,0,0
ESPORTSTMNT01_3331076,1,0.0,1.5,13,0.38,6.05,3,0.67,22,13,0.62,8.0,0,0,0,9,0.78,2.56,6,0.67,2.23,1,1.0,1.5,0,0,0,1,0.0,4.67,1
ESPORTSTMNT03_3117109,3,0.33,2.62,4,1.0,2.5,5,0.6,1.93,3,0.0,4.6,2,0.0,26.0,0,0,0,10,0.6,1.93,4,0.75,12.33,6,0.33,58.0,9,0.56,5.19,0
ESPORTSTMNT01_3328298,4,0.75,3.0,0,0,0,0,0,0,2,0.5,3.2,2,0.5,2.5,0,0,0,2,0.5,2.62,0,0,0,3,0.33,24.5,0,0,0,1
ESPORTSTMNT01_3311712,2,0.5,3.29,1,1.0,9,0,0,0,1,1.0,12,1,1.0,12,0,0,0,0,0,0,0,0,0,2,1.0,3.83,0,0,0,1
ESPORTSTMNT03_3118905,2,0.5,11.0,1,0.0,0.6,1,0.0,5.0,0,0,0,1,0.0,2.14,0,0,0,1,1.0,2.0,3,0.33,5.33,0,0,0,0,0,0,0
ESPORTSTMNT03_3086917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPORTSTMNT03_3086486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT01_3330869,7,0.43,9.0,8,0.62,4.85,3,0.33,25.0,17,0.59,7.35,9,0.67,5.29,10,0.6,5.08,6,0.17,4.4,1,0.0,1.5,0,0,0,0,0,0,1
