game,blueTopChampion,blueTopGP,blueTopWR,blueTopKDA,blueJungleChampion,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidChampion,blueMidGP,blueMidWR,blueMidKDA,blueADCChampion,blueADCGP,blueADCWR,blueADCKDA,blueSupportChampion,blueSupportGP,blueSupportWR,blueSupportKDA,redTopChampion,redTopGP,redTopWR,redTopKDA,redJungleChampion,redJungleGP,redJungleWR,redJungleKDA,redMidChampion,redMidGP,redMidWR,redMidKDA,redAdcChampion,redAdcGP,redAdcWR,redAdcKDA,redSupportChampion,redSupportGP,redSupportWR,redSupportKDA,result
LOLTMNT03_33323,Aatrox,0,0,0,Rell,0,0,0,Orianna,0,0,0,Xayah,0,0,0,Rakan,0,0,0,K'Sante,0,0,0,Nocturne,0,0,0,Azir,0,0,0,Varus,0,0,0,Nautilus,0,0,0,1
LOLTMNT02_34853,Udyr,0,0,0,Lee Sin,0,0,0,Corki,0,0,0,Lucian,0,0,0,Milio,1,1.0,3.0,Aatrox,0,0,0,Xin Zhao,0,0,0,Orianna,0,0,0,Seraphine,0,0,0,Senna,0,0,0,1
LOLTMNT01_46764,Udyr,0,0,0,Amumu,0,0,0,Yone,0,0,0,Kalista,0,0,0,Renata Glasc,0,0,0,Olaf,0,0,0,Vi,1,1.0,8.5,Azir,0,0,0,Senna,0,0,0,Seraphine,0,0,0,0
LOLTMNT01_52765,Jax,2,1.0,4.6,Maokai,0,0,0,LeBlanc,1,0.0,10,Lucian,1,1.0,11,Nami,1,1.0,13,Aatrox,1,1.0,1.2,Vi,0,0,0,Lissandra,0,0,0,Caitlyn,0,0,0,Milio,0,0,0,1
LOLTMNT02_48804,Aatrox,0,0,0,Maokai,4,0.5,11.6,Hwei,0,0,0,Xayah,1,1.0,1.5,Rakan,0,0,0,K'Sante,3,1.0,4.71,Zac,0,0,0,Taliyah,1,1.0,9.0,Smolder,0,0,0,Tahm Kench,0,0,0,1
LOLTMNT03_34185,K'Sante,0,0,0,Jax,0,0,0,Neeko,0,0,0,Aphelios,0,0,0,Nautilus,0,0,0,Kayle,0,0,0,Xin Zhao,0,0,0,Azir,0,0,0,Xayah,0,0,0,Rell,0,0,0,1
LOLTMNT02_48097,Twisted Fate,0,0,0,Rell,0,0,0,Taliyah,1,1.0,9.0,Smolder,0,0,0,Nautilus,3,1.0,3.83,Vladimir,0,0,0,Lee Sin,0,0,0,Azir,4,0.25,3.78,Varus,2,1.0,12.5,Maokai,0,0,0,1
LOLTMNT01_53418,K'Sante,2,1.0,6.5,Brand,0,0,0,Taliyah,0,0,0,Kalista,1,0.0,5.0,Nautilus,2,1.0,3.4,Olaf,0,0,0,Ivern,0,0,0,Azir,4,0.75,3.0,Varus,3,0.67,1.64,Leona,0,0,0,1
LOLTMNT01_45062,K'Sante,2,0.5,6.67,Nocturne,1,1.0,7,Orianna,0,0,0,Aphelios,2,0.5,9.5,Blitzcrank,0,0,0,Udyr,0,0,0,Xin Zhao,1,1.0,0.67,Neeko,1,1.0,17.0,Lucian,0,0,0,Milio,0,0,0,0
LOLTMNT02_39068,Aatrox,0,0,0,Xin Zhao,2,0.5,4.2,Akali,0,0,0,Lucian,0,0,0,Nami,0,0,0,Ornn,0,0,0,Maokai,1,0.0,12.0,Azir,3,0.0,3.56,Aphelios,1,0.0,2.5,Milio,1,0.0,19,1
LOLTMNT02_51845,Aatrox,3,0.33,2.0,Vi,3,0.0,2.77,Taliyah,3,0.33,7.6,Smolder,0,0,0,Braum,0,0,0,Gwen,0,0,0,Ivern,0,0,0,Azir,6,0.5,2.38,Varus,5,0.6,2.75,Nautilus,2,0.0,1.5,0
LOLTMNT02_47308,K'Sante,6,0.67,1.2,Vi,2,0.0,2.9,Orianna,2,1.0,1.0,Lucian,1,0.0,9.0,Milio,1,0.0,10,Gwen,0,0,0,Xin Zhao,2,0.5,9.0,Taliyah,2,0.5,14.0,Varus,2,1.0,14.0,Nautilus,0,0,0,0
LOLTMNT02_53331,Gnar,0,0,0,Poppy,1,1.0,2.0,Taliyah,3,0.33,7.6,Varus,4,0.5,0.83,Rell,1,0.0,9,Yone,1,1.0,1.4,Sejuani,3,0.67,2.4,Azir,4,0.5,3.45,Smolder,0,0,0,Leona,0,0,0,1
LOLTMNT02_34042,Udyr,2,1.0,6.67,Nocturne,2,1.0,7.67,Orianna,0,0,0,Aphelios,0,0,0,Milio,1,1.0,8.0,K'Sante,2,1.0,6.0,Maokai,0,0,0,Yone,0,0,0,Varus,1,0.0,3.67,Tahm Kench,1,0.0,7.5,1
LOLTMNT02_29818,K'Sante,1,1.0,3,Rell,2,0.5,7.33,Azir,0,0,0,Xayah,0,0,0,Nautilus,1,1.0,10,Udyr,0,0,0,Nocturne,0,0,0,Orianna,0,0,0,Varus,0,0,0,Rakan,0,0,0,1
LOLTMNT01_42231,K'Sante,0,0,0,Wukong,0,0,0,Corki,2,0.0,1.5,Varus,0,0,0,Nautilus,0,0,0,Jax,0,0,0,Maokai,0,0,0,Azir,0,0,0,Kalista,1,0.0,2.0,Rell,0,0,0,0
LOLTMNT01_36968,K'Sante,1,1.0,0.25,Ivern,0,0,0,Azir,0,0,0,Kalista,0,0,0,Rell,0,0,0,Darius,0,0,0,Sejuani,0,0,0,Corki,0,0,0,Varus,0,0,0,Renata Glasc,0,0,0,1
LOLTMNT04_28061,Akali,0,0,0,Vi,6,0.83,4.29,Twisted Fate,0,0,0,Senna,2,1.0,37,Nautilus,3,0.67,2.25,Yasuo,0,0,0,Zac,0,0,0,Orianna,0,0,0,Varus,1,1.0,6.5,Rell,0,0,0,0
LOLTMNT01_35816,Jax,1,1.0,15,Sejuani,0,0,0,Azir,1,0.0,8,Kalista,0,0,0,Rell,1,1.0,1.0,Ornn,0,0,0,Xin Zhao,0,0,0,Taliyah,0,0,0,Xayah,0,0,0,Rakan,0,0,0,1
LOLTMNT01_49815,Jayce,0,0,0,Lee Sin,0,0,0,Neeko,1,1.0,4.0,Ashe,0,0,0,Leona,0,0,0,Aatrox,0,0,0,Nocturne,0,0,0,LeBlanc,0,0,0,Ezreal,1,0.0,3.57,Alistar,1,1.0,1.25,1
LOLTMNT02_43642,K'Sante,0,0,0,Ivern,0,0,0,Tristana,0,0,0,Xayah,0,0,0,Nautilus,0,0,0,Zac,0,0,0,Nocturne,1,0.0,1.33,Orianna,1,0.0,4.33,Smolder,0,0,0,Leona,0,0,0,1
LOLTMNT01_49314,Sejuani,0,0,0,Viego,0,0,0,Azir,2,0.5,8.5,Varus,2,0.5,1.0,Nautilus,1,0.0,2.0,Zac,0,0,0,Maokai,1,1.0,9.0,Yone,1,1.0,6,Ezreal,0,0,0,Ashe,1,0.0,18.0,0
LOLTMNT02_34052,Jax,2,0.5,12.5,Viego,0,0,0,Orianna,1,1.0,7.0,Xayah,1,1.0,15.0,Leona,0,0,0,Udyr,2,1.0,6.67,Nocturne,2,1.0,7.67,Akali,0,0,0,Varus,0,0,0,Renata Glasc,0,0,0,1
LOLTMNT01_58761,Gnar,1,0.0,3.0,Viego,2,0.5,7.0,Azir,5,0.6,6.71,Xayah,4,0.5,10.5,Leona,4,0.75,13.5,K'Sante,7,0.71,22.67,Lee Sin,2,0.5,4.2,Hwei,0,0,0,Senna,0,0,0,Nautilus,0,0,0,1
LOLTMNT03_32335,K'Sante,0,0,0,Rell,0,0,0,Neeko,0,0,0,Kalista,0,0,0,Renata Glasc,0,0,0,Aatrox,0,0,0,Xin Zhao,0,0,0,Orianna,0,0,0,Caitlyn,0,0,0,Varus,0,0,0,0
LOLTMNT06_13904,Jax,0,0,0,Trundle,0,0,0,Neeko,1,0.0,9,Aphelios,1,0.0,4.5,Rell,0,0,0,K'Sante,0,0,0,Xin Zhao,0,0,0,Azir,0,0,0,Varus,1,0.0,1.5,Rakan,1,0.0,1.33,0
LOLTMNT01_57300,K'Sante,3,1.0,6.0,Xin Zhao,3,0.67,3.1,Akali,1,1.0,7.0,Varus,4,0.5,3.46,Nautilus,2,1.0,3.38,Aatrox,1,1.0,0.6,Rell,0,0,0,Orianna,0,0,0,Ashe,0,0,0,Heimerdinger,0,0,0,1
LOLTMNT04_27329,K'Sante,4,0.75,10.67,Ivern,0,0,0,Hwei,2,1.0,18.0,Kalista,2,1.0,4.6,Leona,0,0,0,Jax,0,0,0,Brand,0,0,0,Azir,5,0.6,10.43,Varus,5,0.4,8.12,Nautilus,3,0.67,2.8,1
LOLTMNT02_26125,K'Sante,0,0,0,Rell,0,0,0,Orianna,0,0,0,Aphelios,0,0,0,Nautilus,0,0,0,Gragas,0,0,0,Nocturne,0,0,0,Azir,0,0,0,Lucian,0,0,0,Milio,0,0,0,1
LOLTMNT01_56738,K'Sante,4,0.5,5.8,Xin Zhao,3,0.33,4.5,Hwei,0,0,0,Ashe,2,0.5,24,Maokai,3,1.0,3.25,Gwen,0,0,0,Vi,1,0.0,1.0,Azir,2,1.0,9.67,Senna,0,0,0,Rell,2,0.0,2.7,1
LOLTMNT06_12845,Kennen,0,0,0,Viego,0,0,0,LeBlanc,0,0,0,Aphelios,0,0,0,Nautilus,0,0,0,Malphite,0,0,0,Vi,0,0,0,Neeko,0,0,0,Lucian,0,0,0,Milio,0,0,0,1
