golId,game,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38,event39,event40,event41,event42,event43,event44,event45,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
44693,ESPORTSTMNT03_3087499,BLUE: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_mid,BLUE: herald,BLUE: first_tower_top,BLUE: first_tower_bot,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: dragon,BLUE: second_tower_top,BLUE: second_tower_bot,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45608,ESPORTSTMNT01_3309691,BLUE: first_blood,BLUE: dragon,RED: herald,BLUE: dragon,RED: first_tower_mid,BLUE: first_tower_bot,RED: herald,RED: first_tower_top,BLUE: dragon,RED: second_tower_top,RED: first_tower_bot,BLUE: first_tower_top,BLUE: dragon,BLUE: baron,BLUE: second_tower_bot,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: second_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,1,0.0,3.67,0,0,0,0,0,0,1,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,6.0,1
45609,ESPORTSTMNT01_3311651,BLUE: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_mid,BLUE: herald,BLUE: first_tower_top,BLUE: first_tower_bot,BLUE: dragon,RED: first_tower_top,BLUE: second_tower_top,BLUE: second_tower_mid,BLUE: dragon,RED: first_tower_bot,BLUE: baron,BLUE: third_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: second_tower_bot,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0.0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45610,ESPORTSTMNT01_3309743,RED: first_blood,RED: dragon,RED: herald,BLUE: dragon,RED: first_tower_bot,BLUE: herald,BLUE: first_tower_top,RED: dragon,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: first_tower_bot,RED: first_tower_top,BLUE: dragon,BLUE: baron,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: dragon,BLUE: second_tower_top,RED: first_tower_mid,BLUE: baron,BLUE: dragon,BLUE: inhibitor_bot,BLUE: inhibitor_mid,BLUE: third_tower_top,RED: second_tower_bot,RED: second_tower_mid,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,2,0.5,2.33,2,1.0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,5.5,0,0,0,0,0,0,1
45611,ESPORTSTMNT01_3311712,BLUE: first_blood,RED: herald,RED: dragon,RED: dragon,BLUE: herald,BLUE: first_tower_top,RED: first_tower_bot,BLUE: first_tower_bot,BLUE: first_tower_mid,BLUE: second_tower_top,BLUE: second_tower_mid,RED: dragon,RED: first_tower_mid,BLUE: dragon,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: baron,BLUE: dragon,BLUE: third_tower_mid,BLUE: third_tower_top,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: inhibitor_bot,RED: dragon,BLUE: baron,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,2,0.5,3.29,1,1.0,9,0,0,0,1,1.0,12,1,1.0,12,0,0,0,0,0,0,0,0,0,2,1.0,3.83,0,0,0,1
45612,ESPORTSTMNT01_3311744,RED: first_blood,BLUE: dragon,RED: herald,BLUE: dragon,RED: first_tower_top,BLUE: first_tower_bot,RED: herald,BLUE: first_tower_mid,RED: dragon,BLUE: first_tower_top,RED: first_tower_bot,BLUE: baron,RED: first_tower_mid,BLUE: second_tower_bot,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,4.33,0,0,0,1,0.0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18.0,1,0.0,1.0,1
45613,ESPORTSTMNT01_3313115,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: first_tower_top,BLUE: first_tower_mid,BLUE: dragon,BLUE: first_tower_bot,RED: first_tower_top,RED: first_tower_mid,RED: herald,RED: baron,RED: first_tower_bot,RED: dragon,RED: second_tower_mid,RED: second_tower_top,RED: third_tower_mid,RED: second_tower_bot,RED: baron,RED: dragon,RED: third_tower_bot,RED: inhibitor_bot,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,1,1.0,8.5,2,0.5,4.29,0,0,0,1,0.0,6.67,0,0,0,1,1.0,8,2,0.5,8.25,0,0,0,0,0,0,0,0,0,0
45614,ESPORTSTMNT01_3312216,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_mid,BLUE: first_tower_top,BLUE: herald,BLUE: first_tower_bot,BLUE: second_tower_bot,RED: first_tower_top,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: dragon,BLUE: second_tower_top,BLUE: third_tower_top,RED: first_tower_bot,BLUE: second_tower_mid,BLUE: inhibitor_top,BLUE: third_tower_mid,BLUE: baron,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1.0,9,0,0,0,3,0.0,6.25,4,0.25,11.5,0,0,0,1,1.0,0.43,0,0,0,0,0,0,1,0.0,6.0,1
45615,ESPORTSTMNT01_3313202,BLUE: first_blood,BLUE: dragon,RED: herald,BLUE: dragon,BLUE: herald,BLUE: first_tower_top,RED: first_tower_bot,RED: dragon,BLUE: first_tower_mid,BLUE: first_tower_bot,RED: first_tower_top,BLUE: dragon,BLUE: dragon,BLUE: baron,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,1,0.0,1.0,1,1.0,5.5,0,0,0,1,1.0,11.0,0,0,0,1,0.0,3.67,2,0.5,5.8,1,1.0,5.0,1,0.0,16.0,0,0,0,1
45616,ESPORTSTMNT01_3313248,BLUE: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_bot,RED: herald,RED: first_tower_mid,BLUE: second_tower_bot,RED: first_tower_top,BLUE: dragon,RED: first_tower_bot,BLUE: first_tower_top,BLUE: dragon,BLUE: baron,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18.0,0,0,0,1
45617,ESPORTSTMNT01_3313274,RED: first_blood,RED: dragon,BLUE: herald,RED: dragon,BLUE: herald,BLUE: first_tower_bot,BLUE: dragon,BLUE: first_tower_top,BLUE: dragon,RED: first_tower_top,BLUE: first_tower_mid,RED: first_tower_mid,BLUE: dragon,BLUE: second_tower_bot,BLUE: baron,RED: first_tower_bot,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: second_tower_top,BLUE: dragon,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,0,0,0,3,0.33,2.13,1,1.0,1.67,0,0,0,0,0,0,2,0.5,2.33,2,1.0,3.67,1,1.0,2.0,2,1.0,1.17,0,0,0,1
46931,ESPORTSTMNT03_3114863,BLUE: first_blood,BLUE: dragon,RED: herald,RED: dragon,BLUE: first_tower_top,BLUE: first_tower_mid,BLUE: second_tower_top,RED: first_tower_bot,BLUE: dragon,RED: first_tower_mid,RED: herald,BLUE: first_tower_bot,RED: first_tower_top,RED: baron,RED: second_tower_bot,RED: dragon,RED: second_tower_top,BLUE: baron,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,RED: dragon,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,RED: baron,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,2,1.0,7.0,1,0.0,4.5,1,1.0,13,2,0.0,3.0,1,1.0,3.5,0,0,0,0,0,0,1,0.0,3.0,0,0,0,0,0,0,1
46932,ESPORTSTMNT03_3114925,RED: first_blood,BLUE: dragon,BLUE: herald,RED: dragon,BLUE: first_tower_bot,BLUE: herald,BLUE: first_tower_mid,RED: dragon,BLUE: first_tower_top,RED: first_tower_mid,BLUE: baron,BLUE: dragon,BLUE: second_tower_bot,BLUE: second_tower_mid,BLUE: second_tower_top,RED: first_tower_bot,BLUE: dragon,RED: baron,RED: first_tower_top,RED: second_tower_mid,RED: second_tower_top,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,3,0.33,3.57,1,0.0,0.5,0,0,0,2,0.5,2.8,3,0.33,5.29,0,0,0,0,0,0,0,0,0,1,1.0,5.0,4,0.75,11.0,0
46933,ESPORTSTMNT03_3116931,RED: first_blood,RED: herald,BLUE: dragon,BLUE: herald,RED: first_tower_mid,BLUE: first_tower_top,RED: first_tower_bot,RED: dragon,RED: first_tower_top,BLUE: first_tower_bot,RED: second_tower_mid,BLUE: second_tower_top,RED: baron,RED: dragon,RED: third_tower_mid,RED: second_tower_top,BLUE: dragon,RED: baron,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: inhibitor_mid,RED: third_tower_top,RED: inhibitor_top,RED: dragon,RED: baron,RED: nexus_tower,BLUE: first_tower_mid,BLUE: second_tower_bot,BLUE: dragon,RED: inhibitor_mid,BLUE: baron,RED: dragon,RED: nexus_tower,RED: nexus,,,,,,,,,,,2,0.5,3.5,2,1.0,8.5,0,0,0,2,0.5,4.17,0,0,0,1,0.0,2.33,2,0.5,2.88,0,0,0,2,1.0,4.6,1,1.0,1.25,0
46934,ESPORTSTMNT03_3114975,RED: dragon,BLUE: first_blood,RED: herald,RED: dragon,RED: herald,BLUE: first_tower_bot,RED: first_tower_top,RED: dragon,RED: first_tower_bot,RED: first_tower_mid,RED: baron,RED: second_tower_mid,BLUE: first_tower_top,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: dragon,RED: second_tower_top,RED: baron,RED: third_tower_top,RED: third_tower_mid,RED: inhibitor_top,RED: inhibitor_mid,RED: nexus_tower,RED: inhibitor_bot,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,2,0.5,5.8,4,0.25,6.33,0,0,0,1,1.0,1.0,0,0,0,1,1.0,9,0,0,0,2,0.0,8.67,2,0.0,3.25,3,0.67,6.67,0
46935,ESPORTSTMNT03_3116979,RED: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,RED: first_tower_top,BLUE: first_tower_bot,BLUE: herald,BLUE: first_tower_mid,BLUE: dragon,BLUE: first_tower_top,BLUE: baron,BLUE: second_tower_mid,BLUE: dragon,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,2,0.0,4.0,3,1.0,2.4,0,0,0,0,0,0,0,0,0,1,0.0,8.0,3,0.67,3.12,0,0,0,0,0,0,0,0,0,1
46936,ESPORTSTMNT03_3118326,BLUE: first_blood,BLUE: herald,BLUE: dragon,BLUE: first_tower_mid,RED: first_tower_bot,BLUE: herald,RED: dragon,BLUE: first_tower_top,BLUE: first_tower_bot,RED: first_tower_top,BLUE: second_tower_top,RED: dragon,RED: first_tower_mid,RED: baron,RED: second_tower_top,BLUE: second_tower_bot,BLUE: dragon,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: second_tower_mid,RED: nexus_tower,RED: dragon,RED: baron,RED: third_tower_mid,RED: third_tower_top,RED: inhibitor_top,RED: nexus_tower,RED: inhibitor_mid,RED: nexus,,,,,,,,,,,,,,,,1,1.0,2.67,1,0.0,5.5,2,0.5,4.25,0,0,0,0,0,0,1,0.0,1.0,0,0,0,2,1.0,3.25,2,0.5,31.0,1,1.0,1.67,0
46938,ESPORTSTMNT03_3117421,RED: first_blood,RED: dragon,RED: herald,BLUE: dragon,BLUE: herald,BLUE: first_tower_mid,BLUE: first_tower_bot,BLUE: first_tower_top,BLUE: dragon,RED: first_tower_bot,BLUE: baron,BLUE: second_tower_mid,BLUE: dragon,BLUE: second_tower_top,BLUE: baron,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,1.88,1,0.0,1.8,0,0,0,0,0,0,0,0,0,2,0.5,1.29,3,0.67,3.33,2,0.5,16.0,1,1.0,4.5,2,0.0,6.25,1
46939,ESPORTSTMNT03_3119387,RED: first_blood,RED: dragon,RED: herald,RED: first_tower_bot,RED: dragon,RED: herald,RED: first_tower_top,RED: first_tower_mid,RED: dragon,BLUE: first_tower_top,RED: second_tower_bot,RED: dragon,BLUE: baron,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: elder_dragon,RED: baron,BLUE: first_tower_bot,RED: second_tower_top,RED: third_tower_top,RED: inhibitor_top,RED: nexus_tower,RED: nexus_tower,RED: third_tower_bot,RED: nexus,,,,,,,,,,,,,,,,,,,,2,0.5,4.33,0,0,0,1,0.0,2.5,2,0.0,4.25,2,1.0,3.57,3,0.67,3.18,1,0.0,0.5,0,0,0,4,0.25,5.44,0,0,0,0
