golId,result,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,BLUE:kill,BLUE:plateBLUE:first_blood,BLUE:dragon,BLUE:herald,BLUE:first_tower_top,BLUE:first_tower_mid,BLUE:first_tower_bot,BLUE:second_tower_top,BLUE:second_tower_mid,BLUE:second_tower_bot,BLUE:third_tower_top,BLUE:third_tower_mid,BLUE:third_tower_bot,BLUE:inhibitor_top,BLUE:inhibitor_mid,BLUE:inhibitor_bot,BLUE:baron,BLUE:elder_dragon,BLUE:nexus_tower,BLUE:nexus,RED:kill,RED:plate,RED:first_blood,RED:dragon,RED:herald,RED:first_tower_top,RED:first_tower_mid,RED:first_tower_bot,RED:second_tower_top,RED:second_tower_mid,RED:second_tower_bot,RED:third_tower_top,RED:third_tower_mid,RED:third_tower_bot,RED:inhibitor_top,RED:inhibitor_mid,RED:inhibitor_bot,RED:baron,RED:elder_dragon,RED:nexus_tower,RED:nexus
49268,1,0,0.0,0.0,13,0.54,2.44,3,0.33,3.0,0,0.0,0.0,1,1.0,2.5,0,0.0,0.0,15,0.4,6.7,0,0.0,0.0,2,0.5,2.33,0,0.0,0.0,9,0,1,0,0,0,0,1,0,1,1,1,1,1,2,1,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49269,1,4,0.75,6.2,0,0.0,0.0,1,1.0,9.0,2,0.5,2.33,2,0.0,4.0,13,0.69,2.68,2,0.0,14.0,3,0.33,3.0,0,0.0,0.0,0,0.0,0.0,5,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49270,1,3,0.33,13.5,2,0.5,6.67,2,0.5,23.0,2,0.0,17.0,0,0.0,0.0,0,0.0,0.0,8,0.62,1.88,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49267,1,4,0.5,5.17,6,0.83,7.0,1,1.0,9.0,8,0.25,18.25,2,0.0,4.0,13,0.69,2.68,8,0.5,2.86,3,0.67,2.0,0,0.0,0.0,9,0.67,2.07,8,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49279,1,11,0.55,5.12,16,0.44,5.11,3,1.0,9.33,4,0.75,2.71,3,0.67,2.15,12,0.5,3.14,9,0.44,5.16,3,0.67,7.6,4,0.0,5.62,0,0.0,0.0,6,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49271,0,8,0.38,3.06,11,0.45,2.81,3,0.67,1.0,0,0.0,0.0,2,0.5,1.86,0,0.0,0.0,6,0.67,7.14,0,0.0,0.0,12,0.58,9.0,11,0.55,16.25,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,2,0,2,1
49281,0,10,0.5,3.6,2,1.0,21.0,3,0.0,27.0,19,0.63,7.57,12,0.75,6.44,5,0.2,5.71,1,0.0,3.5,0,0.0,0.0,0,0.0,0.0,2,0.0,11.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,2,1
49280,1,5,0.2,5.71,16,0.75,3.62,0,0.0,0.0,4,0.0,5.62,0,0.0,0.0,1,0.0,5.0,1,1.0,8.0,3,1.0,9.33,4,0.75,2.71,4,0.5,7.5,5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49284,1,8,0.38,5.07,4,0.25,5.44,7,0.71,3.28,13,0.31,4.48,0,0.0,0.0,5,0.6,4.25,3,0.33,5.33,5,0.6,3.44,18,0.39,5.83,1,0.0,18.0,7,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49283,1,4,0.75,3.78,14,0.57,5.19,6,0.5,3.15,13,0.31,4.48,0,0.0,0.0,4,0.5,3.17,3,0.33,5.33,5,0.6,3.44,18,0.39,5.83,1,0.0,18.0,3,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
