golId,game,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38,event39,event40,event41,event42,event43,event44,event45,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
36941,ESPORTSTMNT01_2698440,RED: dragon,RED: herald,BLUE: first_blood,RED: first_tower_bot,RED: dragon,RED: first_tower_mid,RED: herald,RED: first_tower_top,BLUE: first_tower_bot,RED: second_tower_mid,RED: dragon,BLUE: first_tower_top,BLUE: baron,RED: dragon,BLUE: second_tower_top,BLUE: third_tower_top,RED: third_tower_mid,RED: inhibitor_mid,BLUE: baron,BLUE: first_tower_mid,RED: elder_dragon,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,12,0.25,2.8,1,1.0,3.0,0,0.0,0.0,1,0.0,1.6,6,0.0,0.5,0,0.0,0.0,2,0.5,8.7,1
36960,ESPORTSTMNT06_2210164,BLUE: first_blood,RED: herald,BLUE: dragon,RED: first_tower_top,BLUE: first_tower_bot,BLUE: herald,RED: first_tower_bot,RED: second_tower_top,BLUE: first_tower_mid,BLUE: dragon,BLUE: second_tower_mid,BLUE: dragon,BLUE: first_tower_top,BLUE: baron,BLUE: second_tower_bot,BLUE: dragon,BLUE: second_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: baron,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,1,0.0,1.7,16,0.38,3.1,3,0.0,2.0,0,0.0,0.0,14,0.36,2.2,19,0.63,3.3,38,0.39,4.0,0,0.0,0.0,8,1.0,14.6,1,1.0,15.0,0
36961,ESPORTSTMNT06_2210170,RED: first_blood,BLUE: herald,RED: dragon,BLUE: first_tower_top,BLUE: first_tower_bot,BLUE: dragon,RED: herald,RED: first_tower_top,BLUE: first_tower_mid,RED: first_tower_bot,BLUE: second_tower_top,RED: second_tower_bot,RED: dragon,BLUE: baron,BLUE: second_tower_bot,BLUE: second_tower_mid,BLUE: third_tower_bot,BLUE: dragon,BLUE: inhibitor_bot,BLUE: dragon,BLUE: baron,BLUE: third_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_top,BLUE: inhibitor_bot,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,2,1.0,7.0,5,0.6,3.0,0,0.0,0.0,17,0.65,6.5,3,1.0,12.3,13,0.77,4.6,12,0.58,6.2,54,0.57,3.5,2,1.0,4.3,9,0.22,1.8,0
36962,ESPORTSTMNT06_2190198,RED: first_blood,BLUE: herald,BLUE: first_tower_top,RED: dragon,RED: first_tower_bot,BLUE: first_tower_mid,RED: dragon,BLUE: herald,BLUE: first_tower_bot,RED: first_tower_mid,BLUE: second_tower_top,RED: first_tower_top,BLUE: dragon,BLUE: baron,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: second_tower_bot,BLUE: dragon,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: inhibitor_mid,BLUE: baron,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,20,0.35,2.1,52,0.6,4.2,18,0.5,4.5,7,0.43,3.4,17,0.53,3.2,8,0.38,1.5,12,0.67,4.8,8,0.5,4.6,1,1.0,12.0,2,0.5,6.0,0
36963,ESPORTSTMNT06_2210177,BLUE: first_blood,BLUE: dragon,BLUE: herald,BLUE: first_tower_top,BLUE: first_tower_bot,BLUE: dragon,BLUE: herald,BLUE: second_tower_bot,BLUE: first_tower_mid,BLUE: second_tower_mid,RED: dragon,BLUE: baron,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.5,2.4,4,0.5,4.3,32,0.66,3.3,25,0.56,8.0,21,0.52,1.9,1,0.0,0.8,4,0.25,1.5,21,0.57,4.6,3,0.33,3.7,31,0.61,5.6,0
36964,ESPORTSTMNT06_2210192,RED: dragon,BLUE: first_blood,BLUE: herald,BLUE: dragon,BLUE: first_tower_top,RED: first_tower_bot,BLUE: herald,BLUE: first_tower_bot,BLUE: first_tower_mid,RED: dragon,RED: first_tower_mid,RED: baron,RED: first_tower_top,BLUE: dragon,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,2,0.5,4.0,3,0.67,5.4,3,0.33,3.6,10,0.6,5.1,25,0.36,2.2,0,0.0,0.0,0,0.0,0.0,29,0.72,5.4,2,1.0,11.0,13,0.69,3.6,1
36965,ESPORTSTMNT06_2190291,BLUE: first_blood,BLUE: herald,RED: dragon,RED: herald,RED: dragon,RED: first_tower_bot,BLUE: first_tower_top,RED: second_tower_bot,RED: first_tower_top,RED: dragon,BLUE: first_tower_mid,BLUE: second_tower_top,BLUE: first_tower_bot,BLUE: dragon,RED: first_tower_mid,RED: dragon,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,BLUE: second_tower_mid,RED: second_tower_top,RED: baron,RED: third_tower_top,RED: third_tower_bot,RED: inhibitor_bot,RED: inhibitor_top,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,2,1.0,2.0,21,0.29,2.4,9,0.44,4.2,5,0.4,3.4,9,0.22,1.2,12,0.67,2.0,6,0.67,3.4,20,0.6,7.6,18,0.67,6.4,44,0.7,4.5,1
36966,ESPORTSTMNT06_2210313,BLUE: first_blood,RED: dragon,RED: herald,RED: dragon,RED: first_tower_bot,BLUE: herald,BLUE: first_tower_bot,RED: first_tower_top,RED: dragon,RED: first_tower_mid,BLUE: first_tower_top,BLUE: dragon,RED: second_tower_mid,RED: baron,RED: second_tower_bot,BLUE: dragon,RED: second_tower_top,RED: baron,RED: dragon,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: third_tower_top,RED: nexus,,,,,,,,,,,,,,,,,,,,,20,0.45,2.8,39,0.38,3.7,20,0.4,3.3,8,0.88,11.8,5,0.8,5.2,21,0.38,2.2,14,0.57,3.0,15,0.53,3.4,8,0.5,4.0,1,0.0,1.7,1
36967,ESPORTSTMNT06_2210305,BLUE: first_blood,RED: dragon,RED: herald,RED: dragon,RED: first_tower_bot,BLUE: first_tower_bot,BLUE: first_tower_top,RED: herald,BLUE: dragon,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: dragon,RED: first_tower_mid,BLUE: dragon,RED: baron,RED: first_tower_top,RED: dragon,BLUE: second_tower_top,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,30,0.63,3.7,9,0.78,6.6,11,0.73,6.8,8,0.5,5.1,12,0.75,4.2,1,0.0,1.0,10,0.7,5.1,18,0.61,5.5,3,1.0,11.7,10,0.4,2.7,1
36968,ESPORTSTMNT06_2210314,RED: first_blood,RED: herald,RED: first_tower_mid,RED: dragon,RED: herald,RED: first_tower_top,RED: dragon,RED: first_tower_bot,BLUE: first_tower_top,BLUE: first_tower_bot,RED: baron,RED: dragon,RED: second_tower_mid,RED: baron,RED: third_tower_mid,RED: inhibitor_mid,RED: second_tower_top,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,5.0,22,0.64,4.5,9,0.33,2.2,40,0.55,6.6,15,0.4,2.3,1,1.0,3.5,31,0.58,4.3,10,0.6,2.9,3,1.0,16.0,21,0.52,4.6,1
