model,game_minutes,auc
Ensemble Classifier,15,0.7908083023214603
Logistic Regression,15,0.786425106326422
Support Vector Machine (RBF Kernel),15,0.7847980074871523
Decission Tree,15,0.6066297846889952
Adaboost,15,0.7801064371788057
Random Forest,15,0.7756462375952508
Gradient Boosting Classifier,15,0.788907883661173
KNN,15,0.6623596158958002
Gaussian NB,15,0.5776058280170123
Ensemble Classifier,0,0.6103994993797626
Logistic Regression,0,0.6071958621300729
Support Vector Machine (RBF Kernel),0,0.6006902356902356
Decission Tree,0,0.5237767477405635
Adaboost,0,0.6124083488392699
Random Forest,0,0.5961030258727626
Gradient Boosting Classifier,0,0.6020189283182704
KNN,0,0.5134043283714336
Gaussian NB,0,0.5946111332624491
Ensemble Classifier,5,0.6586797248803828
Logistic Regression,5,0.6522226098706363
Support Vector Machine (RBF Kernel),5,0.6514477560694667
Decission Tree,5,0.5354450757575758
Adaboost,5,0.6547077130958711
Random Forest,5,0.6492517831827042
Gradient Boosting Classifier,5,0.6557654394825448
KNN,5,0.5958045365940103
Gaussian NB,5,0.6320012072479178
Ensemble Classifier,4,0.6381288211057948
Logistic Regression,4,0.6346344475456318
Support Vector Machine (RBF Kernel),4,0.6290422869041291
Decission Tree,4,0.5073409533935849
Adaboost,4,0.6360133683324473
Random Forest,4,0.6305971446925394
Gradient Boosting Classifier,4,0.6332950115186958
KNN,4,0.5453673245614035
Gaussian NB,4,0.6235753920786814
Ensemble Classifier,3,0.6374961235158603
Logistic Regression,3,0.6338799175970229
Support Vector Machine (RBF Kernel),3,0.6275111033581429
Decission Tree,3,0.5308946925394293
Adaboost,3,0.632093965975545
Random Forest,3,0.6289219774499379
Gradient Boosting Classifier,3,0.6326142455254297
KNN,3,0.5580863459152932
Gaussian NB,3,0.6239976519581782
Ensemble Classifier,2,0.617044900762006
Logistic Regression,2,0.6103994993797626
Support Vector Machine (RBF Kernel),2,0.6054617446393762
Decission Tree,2,0.5123720483342193
Adaboost,2,0.613605905546695
Random Forest,2,0.6046675361066808
Gradient Boosting Classifier,2,0.6153406321991848
KNN,2,0.5348814349636718
Gaussian NB,2,0.591305046074783
Ensemble Classifier,1,0.6124761873117136
Logistic Regression,1,0.60883229222045
Support Vector Machine (RBF Kernel),1,0.6019471302941698
Decission Tree,1,0.5153869284954812
Adaboost,1,0.6113810805422649
Random Forest,1,0.5961426213893319
Gradient Boosting Classifier,1,0.60560251639199
KNN,1,0.5163518407761829
Gaussian NB,1,0.5967847332978913
Ensemble Classifier,6,0.6820050837320574
Logistic Regression,6,0.6748695839978736
Support Vector Machine (RBF Kernel),6,0.6693894537480063
Decission Tree,6,0.5423962763600922
Adaboost,6,0.6781313685096582
Random Forest,6,0.6708001063264222
Gradient Boosting Classifier,6,0.6805218855218854
KNN,6,0.5955705630870105
Gaussian NB,6,0.6617615297713983
Ensemble Classifier,7,0.6889481437178805
Logistic Regression,7,0.6788775917065389
Support Vector Machine (RBF Kernel),7,0.6752318137515505
Decission Tree,7,0.5471944776714514
Adaboost,7,0.6831098817118554
Random Forest,7,0.6749851309144073
Gradient Boosting Classifier,7,0.6904066985645934
KNN,7,0.5849323830409358
Gaussian NB,7,0.6660990386319334
Ensemble Classifier,12,0.7445078526493
Logistic Regression,12,0.7337229199893675
Support Vector Machine (RBF Kernel),12,0.7330871212121213
Decission Tree,12,0.5645437378167641
Adaboost,12,0.7355891702108808
Random Forest,12,0.7254575912635124
Gradient Boosting Classifier,12,0.7463440878079036
KNN,12,0.6374975079744817
Gaussian NB,12,0.7211866471734892
Ensemble Classifier,11,0.7323827640439481
Logistic Regression,11,0.7193688530037214
Support Vector Machine (RBF Kernel),11,0.7174962896508948
Decission Tree,11,0.570112833377636
Adaboost,11,0.724034478557505
Random Forest,11,0.719337176590466
Gradient Boosting Classifier,11,0.7371930378344851
KNN,11,0.5970976209463051
Gaussian NB,11,0.7087555932128299
Ensemble Classifier,8,0.69766469519759
Logistic Regression,8,0.689125354421407
Support Vector Machine (RBF Kernel),8,0.6867148181375156
Decission Tree,8,0.5743470062466772
Adaboost,8,0.6915356968810916
Random Forest,8,0.6845398890217969
Gradient Boosting Classifier,8,0.6977156986531987
KNN,8,0.5990095583023214
Gaussian NB,8,0.6798217924862661
Ensemble Classifier,9,0.7063646331738438
Logistic Regression,9,0.6967509525075313
Support Vector Machine (RBF Kernel),9,0.694271719386851
Decission Tree,9,0.5663331505847953
Adaboost,9,0.7028882575757577
Random Forest,9,0.6910410851940456
Gradient Boosting Classifier,9,0.707257885876307
KNN,9,0.6007165957823852
Gaussian NB,9,0.6834033869395713
Ensemble Classifier,13,0.7614425505050505
Logistic Regression,13,0.7557385809852916
Support Vector Machine (RBF Kernel),13,0.757158454058125
Decission Tree,13,0.5754453249601277
Adaboost,13,0.7542530568846358
Random Forest,13,0.7424914163565479
Gradient Boosting Classifier,13,0.7601772107035265
KNN,13,0.6539019581782739
Gaussian NB,13,0.7487955209994682
Ensemble Classifier,14,0.7746973573453836
Logistic Regression,14,0.7662576975899346
Support Vector Machine (RBF Kernel),14,0.7637226707868154
Decission Tree,14,0.6050338084795321
Adaboost,14,0.7693464247740563
Random Forest,14,0.7602584784245968
Gradient Boosting Classifier,14,0.7745811181995392
KNN,14,0.657198354155591
Gaussian NB,14,0.7537878787878788
Ensemble Classifier,30,0.9341360409740318
Logistic Regression,30,0.9321592236499238
Support Vector Machine (RBF Kernel),30,0.9337236798754005
Decission Tree,30,0.7649160601431695
Adaboost,30,0.9258019588462575
Random Forest,30,0.9276257974660796
Gradient Boosting Classifier,30,0.9307481954053973
KNN,30,0.8560480126995536
Gaussian NB,30,0.8924731182795699
Ensemble Classifier,25,0.9028448738593666
Logistic Regression,25,0.9022614296716376
Support Vector Machine (RBF Kernel),25,0.903194973711672
Decission Tree,25,0.7354676388513817
Adaboost,25,0.8879770489726383
Random Forest,25,0.8944366763018304
Gradient Boosting Classifier,25,0.8941820945979737
KNN,25,0.8116408784335692
Gaussian NB,25,0.8860483491863453
Ensemble Classifier,20,0.8658305462653288
Logistic Regression,20,0.8654682274247492
Support Vector Machine (RBF Kernel),20,0.8642359531772577
Decission Tree,20,0.6659102006688963
Adaboost,20,0.8596571906354517
Random Forest,20,0.8536022296544035
Gradient Boosting Classifier,20,0.8599995540691192
KNN,20,0.779829988851728
Gaussian NB,20,0.8400111482720177
Ensemble Classifier,10,0.718124224703172
Logistic Regression,10,0.7048251151869571
Support Vector Machine (RBF Kernel),10,0.7003582148236751
Decission Tree,10,0.5811422060517455
Adaboost,10,0.7036441719829877
Random Forest,10,0.7043086567428672
Gradient Boosting Classifier,10,0.7199862661704768
KNN,10,0.6109214402799927
Gaussian NB,10,0.6916035353535354
