model,amount_events,auc
Ensemble Classifier,0,0.6103205852383484
Logistic Regression,0,0.6121003898635478
Support Vector Machine (RBF Kernel),0,0.6104047049441786
Decission Tree,0,0.5219689493620415
Adaboost,0,0.6059275595870991
Random Forest,0,0.6025600024366471
Gradient Boosting Classifier,0,0.6130135787701577
KNN,0,0.5301500199362041
Gaussian NB,0,0.6006780801435406
Ensemble Classifier,3,0.7281726253765728
Logistic Regression,3,0.7089547891192628
Support Vector Machine (RBF Kernel),3,0.7037404472355131
Decission Tree,3,0.5658183258018785
Adaboost,3,0.7037896785840865
Random Forest,3,0.6899560572833598
Gradient Boosting Classifier,3,0.7055404926457558
KNN,3,0.5925958322257664
Gaussian NB,3,0.6720517399875952
Ensemble Classifier,5,0.7661760145312777
Logistic Regression,5,0.7721063153464468
Support Vector Machine (RBF Kernel),5,0.7703384170653907
Decission Tree,5,0.6063441985645933
Adaboost,5,0.769757442849548
Random Forest,5,0.7623783614655325
Gradient Boosting Classifier,5,0.7748708023214601
KNN,5,0.6540368875155059
Gaussian NB,5,0.7400232035264931
Ensemble Classifier,15,0.9486044550940718
Logistic Regression,15,0.9361301362264821
Support Vector Machine (RBF Kernel),15,0.935857544595314
Decission Tree,15,0.7936736222044728
Adaboost,15,0.9426002285232515
Random Forest,15,0.9393624367678381
Gradient Boosting Classifier,15,0.9421807885161521
KNN,15,0.8608936257543486
Gaussian NB,15,0.9283307263933263
Ensemble Classifier,20,0.9762790013579289
Logistic Regression,20,0.967789654429345
Support Vector Machine (RBF Kernel),20,0.9667024562435652
Decission Tree,20,0.870199995211334
Adaboost,20,0.9707641684652668
Random Forest,20,0.9719923244526386
Gradient Boosting Classifier,20,0.9720641544413167
KNN,20,0.9252716028690949
Gaussian NB,20,0.9688876271134264
Ensemble Classifier,10,0.8399012050327841
Logistic Regression,10,0.8510988724968989
Support Vector Machine (RBF Kernel),10,0.850448786106681
Decission Tree,10,0.6713221856725144
Adaboost,10,0.8587080509037746
Random Forest,10,0.8456312300637958
Gradient Boosting Classifier,10,0.8590764276537303
KNN,10,0.7406878821105795
Gaussian NB,10,0.8265757908027644
Ensemble Classifier,25,0.9728242480366143
Logistic Regression,25,0.9610546186312396
Support Vector Machine (RBF Kernel),25,0.961316047228109
Decission Tree,25,0.8749628693035102
Adaboost,25,0.9643292433173651
Random Forest,25,0.9709178494470465
Gradient Boosting Classifier,25,0.9696279806955995
KNN,25,0.9197708047655513
Gaussian NB,25,0.9640959521307855
Ensemble Classifier,30,0.9567623659633344
Logistic Regression,30,0.9204773434797648
Support Vector Machine (RBF Kernel),30,0.9394430992736076
Decission Tree,30,0.8441300588031824
Adaboost,30,0.9335869941196817
Random Forest,30,0.94844344517468
Gradient Boosting Classifier,30,0.9444759598754756
KNN,30,0.8886890349360083
Gaussian NB,30,0.9351158768592183
