gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,1,Blue,top,Robo,oe:player:3085815ef497539cb1d93b3c9a16624,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Renekton,Gwen,Diana,Jinx,Vex,Tryndamere,2320,1,3,6,5,19,17,0,0,0,0,0,0,0,0,4914,9310,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,14668,3793448,150466,10760690,10678448,14,3621,6,1552,8,37,9569,14737,9729,2516121,210721,13300,,286,267,19,,,73966,4382,4924,87,3075,4171,72,1307,753,15,2,0,1,0,1,1,6286,7367,131,4711,6976,116,1575,391,15,2,1,2,0,2,1
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,2,Blue,jng,Tay,oe:player:b04655f0821a30125d72a3442647875,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Viego,Gwen,Diana,Jinx,Vex,Tryndamere,2320,1,4,3,4,19,17,0,0,0,0,0,0,0,1,4914,9310,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,0,0,8730,2257759,895532,6480259,4159914,16,4138,18,4655,20,68,17586,13744,8736,2259310,189214,12825,,211,46,165,,,54569,3173,3310,63,3322,2895,48,-149,415,15,0,1,1,2,0,1,5191,5497,88,4812,5285,82,379,212,6,1,1,1,2,0,1
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,3,Blue,mid,tinowns,oe:player:ae770d2c942cee6dbcfbd1832015231,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Corki,Gwen,Diana,Jinx,Vex,Tryndamere,2320,1,2,2,10,19,17,0,0,0,0,0,0,0,0,4914,9310,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,40339,10432500,413801,3383534,2299655,23,5948,9,2328,12,54,13966,15930,10922,2824655,236561,14100,,320,274,46,,,82759,3392,4836,93,3772,4899,92,-380,-63,1,0,0,0,1,0,0,5725,7482,149,6305,8281,153,-580,-799,-4,0,0,0,2,0,1
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,4,Blue,bot,DudsTheBoy,oe:player:952f90bd1805db865fdb728cd1f2d92,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Aphelios,Gwen,Diana,Jinx,Vex,Tryndamere,2320,1,9,2,3,19,17,2,0,0,0,0,0,0,0,4914,9310,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,28089,7264397,28814,2912069,4648966,38,9828,13,3362,10,66,17069,17903,12895,3334914,279294,15000,,347,320,27,,,89741,3195,3655,85,3254,3372,83,-59,283,2,0,0,0,0,2,0,5438,6228,133,5077,5516,133,361,712,0,1,0,0,0,2,1
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,5,Blue,sup,Ceos,oe:player:c88cada1696defe81464925789aa6d8,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Nautilus,Gwen,Diana,Jinx,Vex,Tryndamere,2320,1,1,4,9,19,17,0,0,0,0,0,0,0,0,4914,9310,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,5658,1463276,580403,3457759,5752241,76,19655,18,4655,25,132,34138,8896,3888,1005517,842105,7675,,39,39,0,,,10086,2147,1987,14,2218,2115,15,-71,-128,-1,0,1,1,0,2,0,3307,3331,21,3383,3298,27,-76,33,-6,0,2,1,0,2,0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,6,Red,top,fNb,oe:player:61ea9de879a9b27bb8eddcba7f32f4a,FURIA Esports,oe:team:40084525160457267265923de195e09,Akali,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,2320,0,4,4,5,17,19,0,0,0,0,0,0,0,0,4397,9310,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,17524,4532069,238276,7310431,5659138,15,3879,11,2845,5,47,12155,13666,8658,2239138,218791,12325,,253,252,1,,,65431,3075,4171,72,4382,4924,87,-1307,-753,-15,0,1,1,2,0,1,4711,6976,116,6286,7367,131,-1575,-391,-15,0,2,1,2,1,2
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,7,Red,jng,Ranger,oe:player:b23f665210a1914cab61bc8eba4c9ae,FURIA Esports,oe:team:40084525160457267265923de195e09,Xin Zhao,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,2320,0,5,3,8,17,19,0,0,0,0,0,0,0,0,4397,9310,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,0,0,15336,3966207,208525,12484914,9023793,15,3879,16,4138,16,62,16034,12657,7649,1978190,193293,12575,,191,52,139,,,49397,3322,2895,48,3173,3310,63,149,-415,-15,2,0,1,0,1,1,4812,5285,82,5191,5497,88,-379,-212,-6,2,0,1,1,1,1
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,8,Red,mid,Envy,oe:player:a672b5bc1c212a6922418fad18734c1,FURIA Esports,oe:team:40084525160457267265923de195e09,Orianna,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,2320,0,4,4,8,17,19,0,0,0,0,1,1,0,0,4397,9310,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,16558,4282241,225141,4786034,2530603,18,4655,8,2069,6,55,14224,14776,9768,2526207,246841,14160,,306,254,52,,,79138,3772,4899,92,3392,4836,93,380,63,-1,1,0,0,0,0,0,6305,8281,153,5725,7482,149,580,799,4,2,0,1,0,0,0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,9,Red,bot,Netuno,oe:player:85c460fea615911b6075e0968b63db1,FURIA Esports,oe:team:40084525160457267265923de195e09,Jhin,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,2320,0,3,4,7,17,19,0,0,0,0,1,0,1,0,4397,9310,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,1,19553,5056810,265864,5390431,2228276,14,3621,12,3103,6,44,11379,15105,10097,2611293,255155,13550,,329,279,50,,,85086,3254,3372,83,3195,3655,85,59,-283,-2,0,2,0,0,0,0,5077,5516,133,5438,6228,133,-361,-712,0,0,2,1,1,0,0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,10,Red,sup,RedBert,oe:player:0c041d02ab7138f57164fafbc091b2d,FURIA Esports,oe:team:40084525160457267265923de195e09,Leona,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,2320,0,1,4,9,17,19,0,0,0,0,1,0,1,0,4397,9310,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,4574,1182931,621932,4406638,6089741,76,19655,22,5690,24,122,31552,8408,3400,879310,859193,8250,,46,46,0,,,11897,2218,2115,15,2147,1987,14,71,128,1,0,2,0,0,1,1,3383,3298,27,3307,3331,21,76,-33,6,0,2,0,0,2,1
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,100,Blue,team,,,LOUD,oe:team:658a021a796aa5501503220adb38cf4,,Gwen,Diana,Jinx,Vex,Tryndamere,2320,1,19,17,31,19,17,2,0,0,0,0,,,,4914,9310,0,3,2,3,2,3,0,0,0,0,0,,0,0,1,1,1,0,1,1,1,9,3,1,1,6,3,1,0,97484,25211379,,26994310,27539224,167,43190,64,16552,75,357,92328,71210,46170,11940517,,62900,32967,,946,257,,,311121,16289,18712,342,15641,17452,310,648,1260,32,2,2,3,3,5,2,25947,29905,522,24288,29356,511,1659,549,11,4,4,4,4,6,4
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,200,Red,team,,,FURIA Esports,oe:team:40084525160457267265923de195e09,,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,2320,0,17,19,37,17,19,0,0,0,0,1,,,,4397,9310,1,2,3,2,3,0,0,1,1,0,0,,0,0,0,1,1,1,1,1,0,3,9,0,0,3,6,0,1,73545,19020259,,34378448,25531552,138,35690,69,17845,57,330,85345,64612,39572,10234138,,60860,-32967,,883,242,,,290948,15641,17452,310,16289,18712,342,-648,-1260,-32,3,5,2,2,2,3,24288,29356,511,25947,29905,522,-1659,-549,-11,4,6,4,4,4,4
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,1,Blue,top,DoRun,oe:player:609de97618e0efb1e5b4bca418e9d3c,Netshoes Miners,oe:team:8b76a6be17ca3ef99e562b7deb8a3ee,Tryndamere,Jinx,Twisted Fate,Caitlyn,Viktor,Syndra,2152,1,6,0,7,21,7,1,0,0,0,0,0,0,0,5855,7807,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,1,0,16632,4637175,215714,7730855,6775929,13,3625,11,3067,8,46,12825,16682,12016,3350186,244158,15900,,335,304,31,,,93401,3190,4711,82,3630,4901,88,-440,-190,-6,0,0,0,1,0,0,5106,7335,121,5485,7442,139,-379,-107,-18,1,2,0,1,0,0
